,time,p,u,v
305,-5.0659078170544865,0.0,-0.0,-0.0
306,-5.063907817054488,0.0,-0.0,-0.0
307,-5.061907817054486,0.0,-0.0,-0.0
308,-5.059907817054485,0.0,-0.0,-0.0
309,-5.057907817054486,0.0,-0.0,-0.0
310,-5.055907817054487,0.0,-0.0,-0.0
311,-5.053907817054488,0.0,-0.0,-0.0
312,-5.051907817054486,0.0,-0.0,-0.0
313,-5.0499078170544855,0.0,-0.0,-0.0
314,-5.0479078170544875,0.0,-0.0,-0.0
315,-5.045907817054486,0.0,-0.0,-0.0
316,-5.043907817054485,0.0,-0.0,-0.0
317,-5.041907817054486,0.0,-0.0,-0.0
318,-5.039907817054487,0.0,-0.0,-0.0
319,-5.037907817054488,0.0,-0.0,-0.0
320,-5.035907817054486,0.0,-0.0,-0.0
321,-5.0339078170544855,0.0,-0.0,-0.0
322,-5.0319078170544875,0.0,-0.0,-0.0
323,-5.029907817054486,0.0,-0.0,-0.0
324,-5.027907817054485,0.0,-0.0,-0.0
325,-5.025907817054486,0.0,-0.0,-0.0
326,-5.023907817054487,0.0,-0.0,-0.0
327,-5.021907817054488,0.0,-0.0,-0.0
328,-5.019907817054486,0.0,-0.0,-0.0
329,-5.0179078170544855,0.0,-0.0,-0.0
330,-5.0159078170544875,0.0,-0.0,-0.0
331,-5.013907817054486,0.0,-0.0,-0.0
332,-5.011907817054485,0.0,-0.0,-0.0
333,-5.009907817054486,0.0,-0.0,-0.0
334,-5.007907817054487,0.0,-0.0,-0.0
335,-5.005907817054488,0.0,-0.0,-0.0
336,-5.003907817054486,0.0,-0.0,-0.0
337,-5.0019078170544855,0.0,-0.0,-0.0
338,-4.9999078170544875,0.0,-0.0,-0.0
339,-4.997907817054486,0.0,-0.0,-0.0
340,-4.995907817054485,0.0,-0.0,-0.0
341,-4.993907817054486,0.0,-0.0,-0.0
342,-4.991907817054487,0.0,-0.0,-0.0
343,-4.989907817054488,0.0,-0.0,-0.0
344,-4.987907817054486,0.0,-0.0,-0.0
345,-4.9859078170544855,0.0,-0.0,-0.0
346,-4.9839078170544875,0.0,-0.0,-0.0
347,-4.981907817054486,0.0,-0.0,-0.0
348,-4.979907817054485,0.0,-0.0,-0.0
349,-4.977907817054486,0.0,-0.0,-0.0
350,-4.975907817054487,0.0,-0.0,-0.0
351,-4.973907817054488,0.0,-0.0,-0.0
352,-4.971907817054486,0.0,-0.0,-0.0
353,-4.9699078170544855,0.0,-0.0,-0.0
354,-4.9679078170544875,0.0,-0.0,-0.0
355,-4.965907817054486,0.0,-0.0,-0.0
356,-4.963907817054485,0.0,-0.0,-0.0
357,-4.961907817054486,0.0,-0.0,-0.0
358,-4.959907817054487,0.0,-0.0,-0.0
359,-4.957907817054488,0.0,-0.0,-0.0
360,-4.955907817054486,0.0,-0.0,-0.0
361,-4.9539078170544855,0.0,-0.0,-0.0
362,-4.9519078170544875,0.0,-0.0,-0.0
363,-4.949907817054486,0.0,-0.0,-0.0
364,-4.947907817054485,0.0,-0.0,-0.0
365,-4.945907817054486,0.0,-0.0,-0.0
366,-4.943907817054487,0.0,-0.0,-0.0
367,-4.941907817054488,0.0,-0.0,-0.0
368,-4.939907817054486,0.0,-0.0,-0.0
369,-4.937907817054485,0.0,-0.0,-0.0
370,-4.9359078170544874,0.0,-0.0,-0.0
371,-4.933907817054486,0.0,-0.0,-0.0
372,-4.931907817054485,0.0,-0.0,-0.0
373,-4.929907817054486,0.0,-0.0,-0.0
374,-4.9279078170544866,0.0,-0.0,-0.0
375,-4.925907817054488,0.0,-0.0,-0.0
376,-4.923907817054486,0.0,-0.0,-0.0
377,-4.921907817054485,0.0,-0.0,-0.0
378,-4.919907817054487,0.0,-0.0,-0.0
379,-4.917907817054486,0.0,-0.0,-0.0
380,-4.915907817054485,0.0,-0.0,-0.0
381,-4.913907817054486,0.0,-0.0,-0.0
382,-4.9119078170544865,0.0,-0.0,-0.0
383,-4.909907817054488,0.0,-0.0,-0.0
384,-4.907907817054486,0.0,-0.0,-0.0
385,-4.905907817054485,0.0,-0.0,-0.0
386,-4.903907817054487,0.0,-0.0,-0.0
387,-4.901907817054486,0.0,-0.0,-0.0
388,-4.899907817054488,0.0,-0.0,-0.0
389,-4.897907817054486,0.0,-0.0,-0.0
390,-4.8959078170544865,0.0,-0.0,-0.0
391,-4.893907817054488,0.0,-0.0,-0.0
392,-4.891907817054486,0.0,-0.0,-0.0
393,-4.889907817054485,0.0,-0.0,-0.0
394,-4.887907817054487,0.0,-0.0,-0.0
395,-4.885907817054486,0.0,-0.0,-0.0
396,-4.883907817054485,0.0,-0.0,-0.0
397,-4.881907817054486,0.0,-0.0,-0.0
398,-4.8799078170544865,0.0,-0.0,-0.0
399,-4.877907817054488,0.0,-0.0,-0.0
400,-4.875907817054486,0.0,-0.0,-0.0
401,-4.873907817054485,0.0,-0.0,-0.0
402,-4.871907817054487,0.0,-0.0,-0.0
403,-4.869907817054486,0.0,-0.0,-0.0
404,-4.867907817054488,0.0,-0.0,-0.0
405,-4.865907817054486,0.0,-0.0,-0.0
406,-4.8639078170544865,0.0,-0.0,-0.0
407,-4.861907817054488,0.0,-0.0,-0.0
408,-4.859907817054486,0.0,-0.0,-0.0
409,-4.857907817054485,0.0,-0.0,-0.0
410,-4.855907817054487,0.0,-0.0,-0.0
411,-4.853907817054487,0.0,-0.0,-0.0
412,-4.851907817054485,0.0,-0.0,-0.0
413,-4.849907817054486,0.0,-0.0,-0.0
414,-4.8479078170544865,0.0,-0.0,-0.0
415,-4.845907817054488,0.0,-0.0,-0.0
416,-4.843907817054486,0.0,-0.0,-0.0
417,-4.841907817054485,0.0,-0.0,-0.0
418,-4.839907817054487,0.0,-0.0,-0.0
419,-4.837907817054487,0.0,-0.0,-0.0
420,-4.835907817054488,0.0,-0.0,-0.0
421,-4.833907817054486,0.0,-0.0,-0.0
422,-4.8319078170544865,0.0,-0.0,-0.0
423,-4.829907817054488,0.0,-0.0,-0.0
424,-4.827907817054486,0.0,-0.0,-0.0
425,-4.825907817054485,0.0,-0.0,-0.0
426,-4.823907817054487,0.0,-0.0,-0.0
427,-4.821907817054487,0.0,-0.0,-0.0
428,-4.819907817054488,0.0,-0.0,-0.0
429,-4.817907817054486,0.0,-0.0,-0.0
430,-4.8159078170544865,0.0,-0.0,-0.0
431,-4.813907817054488,0.0,-0.0,-0.0
432,-4.811907817054486,0.0,-0.0,-0.0
433,-4.809907817054485,0.0,-0.0,-0.0
434,-4.807907817054486,0.0,-0.0,-0.0
435,-4.805907817054487,0.0,-0.0,-0.0
436,-4.803907817054488,0.0,-0.0,-0.0
437,-4.801907817054486,0.0,-0.0,-0.0
438,-4.7999078170544855,0.0,-0.0,-0.0
439,-4.7979078170544875,0.0,-0.0,-0.0
440,-4.795907817054486,0.0,-0.0,-0.0
441,-4.793907817054485,0.0,-0.0,-0.0
442,-4.791907817054486,0.0,-0.0,-0.0
443,-4.789907817054487,0.0,-0.0,-0.0
444,-4.787907817054488,0.0,-0.0,-0.0
445,-4.785907817054486,0.0,-0.0,-0.0
446,-4.7839078170544855,0.0,-0.0,-0.0
447,-4.7819078170544875,0.0,-0.0,-0.0
448,-4.779907817054486,0.0,-0.0,-0.0
449,-4.777907817054485,0.0,-0.0,-0.0
450,-4.775907817054486,0.0,-0.0,-0.0
451,-4.773907817054487,0.0,-0.0,-0.0
452,-4.771907817054488,0.0,-0.0,-0.0
453,-4.769907817054486,0.0,-0.0,-0.0
454,-4.7679078170544855,0.0,-0.0,-0.0
455,-4.7659078170544875,0.0,-0.0,-0.0
456,-4.763907817054486,0.0,-0.0,-0.0
457,-4.761907817054485,0.0,-0.0,-0.0
458,-4.759907817054486,0.0,-0.0,-0.0
459,-4.757907817054487,0.0,-0.0,-0.0
460,-4.755907817054488,0.0,-0.0,-0.0
461,-4.753907817054486,0.0,-0.0,-0.0
462,-4.7519078170544855,0.0,-0.0,-0.0
463,-4.7499078170544875,0.0,-0.0,-0.0
464,-4.747907817054486,0.0,-0.0,-0.0
465,-4.745907817054485,0.0,-0.0,-0.0
466,-4.743907817054486,0.0,-0.0,-0.0
467,-4.741907817054487,0.0,-0.0,-0.0
468,-4.739907817054488,0.0,-0.0,-0.0
469,-4.737907817054486,0.0,-0.0,-0.0
470,-4.7359078170544855,0.0,-0.0,-0.0
471,-4.7339078170544875,0.0,-0.0,-0.0
472,-4.731907817054486,0.0,-0.0,-0.0
473,-4.729907817054485,0.0,-0.0,-0.0
474,-4.727907817054486,0.0,-0.0,-0.0
475,-4.725907817054487,0.0,-0.0,-0.0
476,-4.723907817054488,0.0,-0.0,-0.0
477,-4.721907817054486,0.0,-0.0,-0.0
478,-4.7199078170544855,0.0,-0.0,-0.0
479,-4.7179078170544875,0.0,-0.0,-0.0
480,-4.715907817054486,0.0,-0.0,-0.0
481,-4.713907817054485,0.0,-0.0,-0.0
482,-4.711907817054486,0.0,-0.0,-0.0
483,-4.709907817054487,0.0,-0.0,-0.0
484,-4.707907817054488,0.0,-0.0,-0.0
485,-4.705907817054486,0.0,-0.0,-0.0
486,-4.7039078170544855,0.0,-0.0,-0.0
487,-4.7019078170544875,0.0,-0.0,-0.0
488,-4.699907817054486,0.0,-0.0,-0.0
489,-4.697907817054485,0.0,-0.0,-0.0
490,-4.695907817054486,0.0,-0.0,-0.0
491,-4.693907817054487,0.0,-0.0,-0.0
492,-4.691907817054485,0.0,-0.0,-0.0
493,-4.689907817054486,0.0,-0.0,-0.0
494,-4.687907817054485,0.0,-0.0,-0.0
495,-4.6859078170544874,0.0,-0.0,-0.0
496,-4.683907817054486,0.0,-0.0,-0.0
497,-4.681907817054485,0.0,-0.0,-0.0
498,-4.679907817054486,0.0,-0.0,-0.0
499,-4.6779078170544866,0.0,-0.0,-0.0
500,-4.675907817054488,0.0,-0.0,-0.0
501,-4.673907817054486,0.0,-0.0,-0.0
502,-4.671907817054485,0.0,-0.0,-0.0
503,-4.669907817054487,0.0,-0.0,-0.0
504,-4.667907817054486,0.0,-0.0,-0.0
505,-4.665907817054485,0.0,-0.0,-0.0
506,-4.663907817054486,0.0,-0.0,-0.0
507,-4.6619078170544865,0.0,-0.0,-0.0
508,-4.659907817054488,0.0,-0.0,-0.0
509,-4.657907817054486,0.0,-0.0,-0.0
510,-4.655907817054485,0.0,-0.0,-0.0
511,-4.653907817054487,0.0,-0.0,-0.0
512,-4.651907817054486,0.0,-0.0,-0.0
513,-4.649907817054485,0.0,-0.0,-0.0
514,-4.647907817054486,0.0,-0.0,-0.0
515,-4.6459078170544865,0.0,-0.0,-0.0
516,-4.643907817054488,0.0,-0.0,-0.0
517,-4.641907817054486,0.0,-0.0,-0.0
518,-4.639907817054485,0.0,-0.0,-0.0
519,-4.637907817054487,0.0,-0.0,-0.0
520,-4.635907817054486,0.0,-0.0,-0.0
521,-4.633907817054485,0.0,-0.0,-0.0
522,-4.631907817054486,0.0,-0.0,-0.0
523,-4.6299078170544865,0.0,-0.0,-0.0
524,-4.627907817054488,0.0,-0.0,-0.0
525,-4.625907817054486,0.0,-0.0,-0.0
526,-4.623907817054485,0.0,-0.0,-0.0
527,-4.621907817054487,0.0,-0.0,-0.0
528,-4.619907817054486,0.0,-0.0,-0.0
529,-4.617907817054485,0.0,-0.0,-0.0
530,-4.615907817054486,0.0,-0.0,-0.0
531,-4.6139078170544865,0.0,-0.0,-0.0
532,-4.611907817054488,0.0,-0.0,-0.0
533,-4.609907817054486,0.0,-0.0,-0.0
534,-4.607907817054485,0.0,-0.0,-0.0
535,-4.605907817054487,0.0,-0.0,-0.0
536,-4.603907817054487,0.0,-0.0,-0.0
537,-4.601907817054485,0.0,-0.0,-0.0
538,-4.599907817054486,0.0,-0.0,-0.0
539,-4.5979078170544865,0.0,-0.0,-0.0
540,-4.595907817054488,0.0,-0.0,-0.0
541,-4.593907817054486,0.0,-0.0,-0.0
542,-4.591907817054485,0.0,-0.0,-0.0
543,-4.589907817054487,0.0,-0.0,-0.0
544,-4.587907817054487,0.0,-0.0,-0.0
545,-4.585907817054485,0.0,-0.0,-0.0
546,-4.583907817054486,0.0,-0.0,-0.0
547,-4.5819078170544865,0.0,-0.0,-0.0
548,-4.579907817054488,0.0,-0.0,-0.0
549,-4.577907817054486,0.0,-0.0,-0.0
550,-4.575907817054485,0.0,-0.0,-0.0
551,-4.573907817054487,0.0,-0.0,-0.0
552,-4.571907817054487,0.0,-0.0,-0.0
553,-4.569907817054488,0.0,-0.0,-0.0
